지점,지점명,일시,미세먼지
90,속초,2020-06-20 17:00,24
90,속초,2020-06-20 18:00,27
90,속초,2020-06-20 19:00,24
90,속초,2020-06-20 20:00,22
90,속초,2020-06-20 21:00,25
90,속초,2020-06-20 22:00,16
90,속초,2020-06-20 23:00,19
90,속초,2020-06-21 0:00,22
90,속초,2020-06-21 1:00,15
90,속초,2020-06-21 2:00,10
90,속초,2020-06-21 3:00,12
90,속초,2020-06-21 4:00,16
90,속초,2020-06-21 5:00,14
90,속초,2020-06-21 6:00,17
90,속초,2020-06-21 7:00,24
90,속초,2020-06-21 8:00,23
90,속초,2020-06-21 9:00,16
90,속초,2020-06-21 10:00,20
90,속초,2020-06-21 11:00,24
90,속초,2020-06-21 12:00,36
90,속초,2020-06-21 13:00,44
90,속초,2020-06-21 14:00,34
90,속초,2020-06-21 15:00,21
90,속초,2020-06-21 16:00,28
90,속초,2020-06-21 17:00,28
90,속초,2020-06-21 18:00,22
90,속초,2020-06-21 19:00,26
90,속초,2020-06-21 20:00,31
90,속초,2020-06-21 21:00,28
90,속초,2020-06-21 22:00,32
90,속초,2020-06-21 23:00,21
90,속초,2020-06-22 0:00,22
90,속초,2020-06-22 1:00,8
90,속초,2020-06-22 2:00,15
90,속초,2020-06-22 3:00,18
90,속초,2020-06-22 4:00,24
90,속초,2020-06-22 5:00,22
90,속초,2020-06-22 6:00,11
90,속초,2020-06-22 7:00,13
90,속초,2020-06-22 8:00,32
90,속초,2020-06-22 9:00,38
90,속초,2020-06-22 10:00,40
90,속초,2020-06-22 11:00,40
90,속초,2020-06-22 12:00,44
90,속초,2020-06-22 13:00,42
90,속초,2020-06-22 14:00,34
90,속초,2020-06-22 15:00,33
90,속초,2020-06-22 16:00,32
90,속초,2020-06-22 17:00,28
90,속초,2020-06-22 18:00,24
90,속초,2020-06-22 19:00,28
90,속초,2020-06-22 20:00,27
90,속초,2020-06-22 21:00,17
90,속초,2020-06-22 22:00,5
90,속초,2020-06-23 0:00,4
90,속초,2020-06-23 1:00,4
90,속초,2020-06-23 2:00,13
90,속초,2020-06-23 3:00,15
90,속초,2020-06-23 4:00,20
90,속초,2020-06-23 5:00,17
90,속초,2020-06-23 6:00,24
90,속초,2020-06-23 7:00,24
90,속초,2020-06-23 8:00,26
90,속초,2020-06-23 9:00,30
90,속초,2020-06-23 10:00,25
90,속초,2020-06-23 11:00,25
90,속초,2020-06-23 12:00,33
90,속초,2020-06-23 13:00,31
90,속초,2020-06-23 14:00,32
90,속초,2020-06-23 15:00,32
90,속초,2020-06-23 16:00,35
90,속초,2020-06-23 17:00,28
90,속초,2020-06-23 18:00,26
90,속초,2020-06-23 19:00,22
90,속초,2020-06-23 20:00,14
90,속초,2020-06-23 21:00,7
90,속초,2020-06-23 22:00,6
90,속초,2020-06-23 23:00,10
90,속초,2020-06-24 0:00,8
90,속초,2020-06-24 1:00,15
90,속초,2020-06-24 2:00,9
90,속초,2020-06-24 3:00,14
90,속초,2020-06-24 4:00,19
90,속초,2020-06-24 5:00,13
90,속초,2020-06-24 6:00,8
90,속초,2020-06-24 7:00,17
90,속초,2020-06-24 8:00,18
90,속초,2020-06-24 9:00,19
90,속초,2020-06-24 10:00,15
90,속초,2020-06-24 11:00,11
90,속초,2020-06-24 12:00,14
90,속초,2020-06-24 13:00,11
90,속초,2020-06-24 14:00,15
90,속초,2020-06-24 15:00,11
90,속초,2020-06-24 16:00,14
90,속초,2020-06-24 17:00,11
90,속초,2020-06-24 18:00,11
90,속초,2020-06-24 19:00,9
90,속초,2020-06-24 20:00,5
90,속초,2020-06-24 21:00,3
90,속초,2020-06-24 22:00,2
90,속초,2020-06-24 23:00,5
90,속초,2020-06-25 0:00,10
90,속초,2020-06-25 1:00,14
90,속초,2020-06-25 2:00,26
90,속초,2020-06-25 3:00,13
90,속초,2020-06-25 4:00,5
90,속초,2020-06-25 5:00,9
90,속초,2020-06-25 7:00,6
90,속초,2020-06-25 8:00,6
90,속초,2020-06-25 9:00,11
90,속초,2020-06-25 10:00,15
90,속초,2020-06-25 11:00,26
90,속초,2020-06-25 12:00,15
90,속초,2020-06-25 13:00,14
90,속초,2020-06-25 14:00,14
90,속초,2020-06-25 15:00,17
90,속초,2020-06-25 16:00,23
90,속초,2020-06-25 17:00,30
90,속초,2020-06-25 18:00,31
90,속초,2020-06-25 19:00,31
90,속초,2020-06-25 20:00,25
90,속초,2020-06-25 21:00,21
90,속초,2020-06-25 22:00,17
90,속초,2020-06-25 23:00,8
90,속초,2020-06-26 2:00,9
90,속초,2020-06-26 3:00,8
90,속초,2020-06-26 4:00,11
